strategy,fill_model,maker_fee_bps,queue_fraction,rows,contiguous_segments,fills,fills_per_transition,spread_capture,adverse_selection,markout_1s,total_fees,liquidation_adjusted_pnl,maximum_drawdown,max_absolute_inventory
signal_inventory,queue_aware,0.0,0.25,87570,381,27859,0.3195242519125119,22.777228712361726,-103.38169052499303,-80.60446181263131,0.0,-114.2142658001471,-114.54047435014124,0.010000000000000002
signal_inventory,queue_aware,0.0,0.5,87570,381,25966,0.2978127974859214,20.84071179986613,-94.14513134999515,-73.30441955012903,0.0,-99.32617360014319,-99.85092475013727,0.010000000000000002
signal_inventory,queue_aware,0.0,1.0,87570,381,23964,0.2748511853559509,17.85010084986832,-79.6667571499971,-61.816656300128784,0.0,-79.92859720013786,-81.06200000012794,0.010000000000000002
signal_inventory,queue_aware,0.0,2.0,87570,381,21699,0.24887313766644875,13.594657249868593,-60.23872504999894,-46.64406780013035,0.0,-52.812034800141284,-54.453320150131276,0.010000000000000002
signal_inventory,queue_aware,0.5,0.25,87570,381,27859,0.3195242519125119,22.777228712361726,-103.38169052499303,-80.60446181263131,100.93705516257928,-218.19468511840353,-218.19067955215354,0.010000000000000002
signal_inventory,queue_aware,0.5,0.5,87570,381,25966,0.2978127974859214,20.84071179986613,-94.14513134999515,-73.30441955012903,93.47950196673777,-195.8724663276446,-195.8684607613946,0.010000000000000002
signal_inventory,queue_aware,0.5,1.0,87570,381,23964,0.2748511853559509,17.85010084986832,-79.6667571499971,-61.816656300128784,85.51914701261526,-168.33122050298903,-168.36218596703878,0.010000000000000002
signal_inventory,queue_aware,0.5,2.0,87570,381,21699,0.24887313766644875,13.594657249868593,-60.23872504999894,-46.64406780013035,76.62571135561996,-132.19198257513244,-132.2407678619322,0.010000000000000002
signal_inventory,queue_aware,1.0,0.25,87570,381,27859,0.3195242519125119,22.777228712361726,-103.38169052499303,-80.60446181263131,201.87411032515857,-322.1751044366529,-322.1670983041529,0.010000000000000002
signal_inventory,queue_aware,1.0,0.5,87570,381,25966,0.2978127974859214,20.84071179986613,-94.14513134999515,-73.30441955012903,186.95900393347554,-292.4187590551427,-292.4107529226427,0.010000000000000002
signal_inventory,queue_aware,1.0,1.0,87570,381,23964,0.2748511853559509,17.85010084986832,-79.6667571499971,-61.816656300128784,171.03829402523053,-256.73384380583116,-256.72583767333117,0.010000000000000002
signal_inventory,queue_aware,1.0,2.0,87570,381,21699,0.24887313766644875,13.594657249868593,-60.23872504999894,-46.64406780013035,153.2514227112399,-211.57193035012392,-211.57193035012392,0.010000000000000002
signal_inventory,queue_aware,2.0,0.25,87570,381,27859,0.3195242519125119,22.777228712361726,-103.38169052499303,-80.60446181263131,403.74822065031714,-530.1359430731625,-530.1199358081625,0.010000000000000002
signal_inventory,queue_aware,2.0,0.5,87570,381,25966,0.2978127974859214,20.84071179986613,-94.14513134999515,-73.30441955012903,373.9180078669511,-485.51134451013496,-485.495337245135,0.010000000000000002
signal_inventory,queue_aware,2.0,1.0,87570,381,23964,0.2748511853559509,17.85010084986832,-79.6667571499971,-61.816656300128784,342.07658805046105,-433.5390904115291,-433.52308314652913,0.010000000000000002
signal_inventory,queue_aware,2.0,2.0,87570,381,21699,0.24887313766644875,13.594657249868593,-60.23872504999894,-46.64406780013035,306.5028454224798,-370.3318259001119,-370.3318259001119,0.010000000000000002
signal_inventory,queue_aware,5.0,0.25,87570,381,27859,0.3195242519125119,22.777228712361726,-103.38169052499303,-80.60446181263131,1009.3705516258173,-1154.0184589827004,-1153.9784483202004,0.010000000000000002
signal_inventory,queue_aware,5.0,0.5,87570,381,25966,0.2978127974859214,20.84071179986613,-94.14513134999515,-73.30441955012903,934.7950196673912,-1064.7891008751321,-1064.7490902126322,0.010000000000000002
